idx,original_post,sentence1,sentence2,automatic_antithesis,gold_label,real_antithesis,contrast
201,"Feinbild Urlauber: Was wäre (Corona )Politik ohne Sündenböcke? Um vom eigenen Versagen abzulenken (Oster Lockdown), macht die Regierung jetzt Stimmung gegen Mallorca Urlauber. Ein nüchterner Blick zeigt, wie absurd die Vorwürfe und Vorbehalte sind. ",Um vom eigenen Versagen abzulenken,Ein nüchterner Blick zeigt,0,0,0,0
202,"Beim eiligen Leser erweckte eine Meldung, die heute durch die großen Medien ging, den Eindruck, ein vierjähriges Kind sei an Covid 19 gestorben. Tatsächlich ist das aber alles andere als ein Fakt. Erschreckend, auf welche Weise hier Angst geschürt wird. ",den Eindruck,als ein Fakt,0,0,0,1
203,"Die Stimmung kippt: 'Ein Land in Geiselhaft, im Stockholmsyndom', schrieb ich nach dem Gipfel. Doch Merkels Rückzieher beim  Oster Arrest zeigt, dass etwas in Bewegung geraten ist. Es gibt Hoffnung, dass sich die Gesellschaft aus ihrer Geiselhaft befreit. ",Die Stimmung kippt,dass etwas in Bewegung geraten ist,0,0,0,0
204,"Die Stimmung kippt: 'Ein Land in Geiselhaft, im Stockholmsyndom', schrieb ich nach dem Gipfel. Doch Merkels Rückzieher beim  Oster Arrest zeigt, dass etwas in Bewegung geraten ist. Es gibt Hoffnung, dass sich die Gesellschaft aus ihrer Geiselhaft befreit. ",schrieb ich nach dem Gipfel,Es gibt Hoffnung,0,0,0,0
205,"Die Impf Nebenwirkungen  explodieren, doch die meisten Medien ignorieren das: Der Umgang des Paul Ehrlich Instituts und der Presse mit den Zahlen zu Nebenwirkungen und Todesfällen wirft Fragen auf. Steht dahinter Angst, sie könnten die Menschen beunruhigen?",Der Umgang des Paul Ehrlich Instituts,der Presse mit den Zahlen zu Nebenwirkungen,0,0,0,0
206,"Kritik aus der CDU nach Coronagipfel. Wenn „Ihnen nach einem Jahr Corona nichts anderes einfällt, als stumpf den Lockdown zu verlängern, über die Ostertage sogar zu verschärfen“, dann sei das für die Menschen „Politikversagen“, schrieb ein CDU MdB Merkel. ",als stumpf den Lockdown zu verlängern,über die Ostertage sogar zu verschärfen,0,0,0,0
207,"20000 Abonnenten auf Youtube. Heute vor einem Jahr waren es 3.449. Ich bin überwältigt. Und sage herzlich danke!  Werde mir jetzt gleich ein Glas Sekt einschenken und auf alle Abonnenten anstoßen! Auf alle, die auf kritische Information setzen statt auf betreutes Informieren.",Heute vor einem Jahr waren es 3.449. Ich bin überwältigt,Werde mir jetzt gleich ein Glas Sekt einschenken und auf alle Abonnenten anstoßen,0,0,0,1
208,"Ein Land im Stockholm Syndrom: Physikerin Merkel behandelt die Menschen wie Untertanen, wie kleine Kinder, wie Variablen in einem Experiment. Dass sie massive Freiheitsbeschränkungen als 'Ruhetage' bezeichnet, ist ein Zynismus, der an DDR Zeiten erinnert. ",Ein Land im Stockholm Syndrom,wie Variablen in einem Experiment,0,0,0,1
209,"Wie üblich nehmen wir hier nicht Stellung': Die WHO empfiehlt Lockdowns  nur in besonderen Situationen, Wissenschaftler kritisieren Ausgangssperren. Dazu befragte ich heute Merkels Sprecherin. Die Antwort, übersetzt in Klarsprech: Wir sagen gar nichts! ",Wie üblich nehmen wir hier nicht Stellung,Dazu befragte ich heute Merkels Sprecherin,1,0,0,0
210,Fragwürdige Werbung: Corona Anzeigen sind für Facebook ein lukratives Geschäft. Unter den zahlungskräftigen Kunden findet sich auch die Bundesregierung: Diverse Ministerien und das Presseamt überwiesen viele Millionen an den Internet Riesen.,Fragwürdige Werbung,Diverse Ministerien,0,0,0,0
211,"Eine polizistin zeigte auf der „Corona Demo“ in Kassel mit ihren Händen einer Demonstrantin ein Herz. Jetzt hetzen Aktivisten auf Twitter gegen die Beamtin, die Polizeiführung distanziert sich von ihr. Selbst Nazi Analogien werden laut. Wegen eines Herz Zeichens. ",Eine polizistin zeigte auf der „Corona Demo“ in Kassel mit ihren Händen einer Demonstrantin ein Herz,die Polizeiführung distanziert sich von ihr,0,0,0,0
212,"Ein Masken Deal mit 'Geschmäckle?' Das Bundesgesundheitsministerium kaufte ausgerechnet bei der Firma Masken, für die Spahns Ehemann als Lobbyist tätig ist – und zwar ohne eine Ausschreibung. Auf Twitter trendet nun nach Bekanntwerden spahnruecktritt. ",Das Bundesgesundheitsministerium kaufte ausgerechnet bei der Firma Masken,Auf Twitter trendet nun nach Bekanntwerden spahnruecktritt,0,0,0,0
213,"Der Kessel von Kassel – wie es auf der Demo wirklich war: Von einem „Randale Mob“ in Kassel berichtete die Bild Zeitung, das Framing in den Medien lautete 'Gewalt bei Corona Demos'. Sehen Sie hier meine Video Reportage und machen Sie sich selbst ein Bild. ",Von einem „Randale Mob“ in Kassel berichtete die Bild Zeitung,das Framing in den Medien lautete 'Gewalt bei Corona Demos',0,0,0,0
214,"Deeskalierende Polizei, eskalierende Presse: Siebeneinhalb Stunden habe ich heute die Corona Proteste in Kassel verfolgt. Als ich dann Abends las, wie die großen Medien darüber berichteten, kam es mir vor, als sei ich in einer anderen Stadt gewesen. ",Deeskalierende Polizei,eskalierende Presse,0,1,1,1
215,Deutschland wird in Frankreich jetzt schon als schlechtes Beispiel angeführt: Monatelange Schulschließungen hat Premierminister Castex als „exzessiv und unerträglich' bezeichnet. Derweil wächst der Unmut der Franzosen. Hier ein Blick über die Grenze:,Derweil wächst der Unmut der Franzosen,Hier ein Blick über die Grenze,0,0,0,0
216,"Merkels Rhetorik Künste sind bewundernswert, ebenso wie die rhetorischen Schwäche vieler Journalisten: Ob sie sich mit AstraZeneca impfen lassen WÜRDE, fragt ein Kollege. WÜRDE sie, antwortet sie. Genauso könnte man jemand fragen, ob er zum Mond fliegen WÜRDE.  Ich WÜRDE es.",Ob sie sich mit AstraZeneca impfen lassen WÜRDE,ob er zum Mond fliegen WÜRDE,1,0,0,0
217,"Wir müssen zurück in den Lockdown' fordert Lauterbach auf der Bundespressekonferenz. Mir war gar nicht bewusst, dass wir raus sind.",Wir müssen zurück in den Lockdown,fordert Lauterbach auf der Bundespressekonferenz,0,0,0,0
218,"Wir müssen zurück in den Lockdown' fordert Lauterbach auf der Bundespressekonferenz. Tilo Jung assistiert ihm mit einer Frage an Spahn: 'Warum sollten wir nicht sofort in den Lockdown, warum jetzt noch warten?' ",Wir müssen zurück in den Lockdown,fordert Lauterbach auf der Bundespressekonferenz,0,0,0,0
219,"Alleine im Auto, auf dem Fahrrad, und auf leerer Straße: Der Umgang mit Masken treibt in Deutschland bizarre Blüten. Ausländer verdutzt der stramme (Über )Gehorsam bei uns – und er hat auch etwas Unheimliches. Mein neues Video. ",auf leerer Straße,Mein neues Video,0,0,0,0
220,"CORONA KOLLATERALSCHADEN Werner war 17.  Voller Pläne. Das Abitur in Sichtweite. Das Geld für eine Weltreise gespart. Dann kam Corona. Ein Jahr Distanzunterricht. Eines Tages wachte Werner nicht mehr auf. 'Es trifft Euch keine Schuld“, war seine letzte Nachricht an seine Eltern. ",Das Abitur in Sichtweite,Ein Jahr Distanzunterricht,0,0,0,0
221,"CORONA KOLLATERALSCHADEN Werner war 17.  Voller Pläne. Das Abitur in Sichtweite. Das Geld für eine Weltreise gespart. Dann kam Corona. Ein Jahr Distanzunterricht. Eines Tages wachte Werner nicht mehr auf. 'Es trifft Euch keine Schuld“, war seine letzte Nachricht an seine Eltern. ",Dann kam Corona,Es trifft Euch keine Schuld,0,0,0,0
222,"Wer anderen eine Verschwörungstheorie unterstellt, verfällt selbst schnell in eine solche – das zeigt die Reaktion des Direktors des steuerfinanzierten Leibniz Instituts für Deutsche Sprache (IDS) auf einen Gastbeitrag auf meiner Seite. Eine Sprach Posse: ",auf einen Gastbeitrag auf meiner Seite,Eine Sprach Posse,0,0,0,0
223,Die CDU hat sich selbst gefesselt. Man kann das Modernisierung nennen. Es war allerdings auch ein Raubbau am politischen Instrumentarium und damit am Waffenschrank für Wahlkämpfe. Genau damit hat die Union die Grünen so stark gemacht. Eine Analyse.,Die CDU hat sich selbst gefesselt,Man kann das Modernisierung nennen,0,0,0,0
224,"Der Inzidenzwert bestimmt über unsere Grundrechte und unsere Freiheit. Ein triftiger Grund, ihn genauer unter die Lupe zu nehmen. Das haben zwei Mathematiker für Sie gemacht. Das Ergebnis ist erschütternd: Die Zahl ist leicht steuerbar, und ihre Aussagekraft stark begrenzt.",Das Ergebnis ist erschütternd,Die Zahl ist leicht steuerbar,0,0,0,1
225,"Montag Vormittag: Markus Söder schlägt vor, Politiker ganz gezielt mit dem Impfstoff von AstraZeneca zu impfen.  Montag Nachmittag: Deutschland setzt die Corona Impfungen mit AstraZeneca auf Empfehlung des Paul Ehrlich Instituts vorsorglich aus.",Montag Vormittag,Montag Nachmittag,1,1,1,1
226,"Das ist ein Mega GAU. Die Impfung als das Manna gegen die Pandemie anzupreisen, das vom Himmel fällt, war unverantwortlich. Jetzt muss die Politik das lernen, auf dem Rücken von toten Menschen.' Prof. Hockertz im Interview zum AstraZeneca Impf Stopp: ",das vom Himmel fällt,Jetzt muss die Politik das lernen,0,0,0,0
227,"In einer Grundschule im Niedersächsischen Buchholz findet aktuell kein Unterricht mehr statt, weil zu viele Lehrer nach der Impfung nicht mehr arbeitsfähig sind. Das Vakzin von AstraZeneca fällt immer wieder mit vielen Nebenwirkungen auf. In den großen Medien sind keine Berichte darüber zu finden.",weil zu viele Lehrer nach der Impfung nicht mehr arbeitsfähig sind,In den großen Medien sind keine Berichte darüber zu finden,0,0,0,0
228,"Wie ein Feuerball, der auf 20 Prozent zustürzt: Diese CDU hat fertig. Sie hat ihre Chance verpasst, mit ihrem Parteitag das Ruder noch einmal herumzureißen. Sie hat mit Laschet einen Mann an die Spitze gewählt, der in allen Umfragen abgeschlagen zurücklag. ",der auf 20 Prozent zustürzt,Sie hat ihre Chance verpasst,0,0,0,0
229,"Wie ein Feuerball, der auf 20 Prozent zustürzt: Diese CDU hat fertig. Sie hat ihre Chance verpasst, mit ihrem Parteitag das Ruder noch einmal herumzureißen. Sie hat mit Laschet einen Mann an die Spitze gewählt, der in allen Umfragen abgeschlagen zurücklag. ",der auf 20 Prozent zustürzt,der in allen Umfragen abgeschlagen zurücklag,0,0,0,0
230,"Wie ein Feuerball, der auf 20 Prozent zustürzt: Diese CDU hat fertig. Sie hat ihre Chance verpasst, mit ihrem Parteitag das Ruder noch einmal herumzureißen. Sie hat mit Laschet einen Mann an die Spitze gewählt, der in allen Umfragen abgeschlagen zurücklag. ",Sie hat ihre Chance verpasst,der in allen Umfragen abgeschlagen zurücklag,0,0,0,0
231,"Die Landtagswahlen2021 zeigen: Die Deutschen stimmen für 'Weiter so'. Auch in der Corona Politik. Parteien, die für einen harten Lockdown stehen, haben eine klare Mehrheit erhalten. Die Geduld der Deutschen mit ihren Regierenden hat fast Gandhi´sche Züge. ",die für einen harten Lockdown stehen,haben eine klare Mehrheit erhalten,0,0,0,0
232,Grünen Chef Habeck spricht von einem 'starken Ergebnis in beiden Bundesländern.' Hat er sich das Ergebnis überhaupt angeschaut? Was für ein 'starkes Ergebnis' in Rheinland Pfalz. Dort blieben die Grünen einstellig? Mehr in meinem Liveticker zur Wahl:,Was für ein 'starkes Ergebnis' in Rheinland Pfalz,Mehr in meinem Liveticker zur Wahl,0,0,0,1
233,"Entscheidet sich heute, wer im Herbst ins Kanzleramt einzieht? Oder drinnen bleibt? Landtagswahlen2021 sind ein wichtiger Stimmungstest. Sie könnten für CDU Chef  Laschet eine Schmach werden. Verfolgen Sie den Wahlabend im Live Ticker auf meiner Seite! ",Sie könnten für CDU Chef  Laschet eine Schmach werden,Verfolgen Sie den Wahlabend im Live Ticker auf meiner Seite,0,0,0,0
234,"Erstens Klima, zweitens Klima, drittens Klima“ antwortet BW MP Kretschmann kürzlich auf die Frage nach seinen Prioritäten. Bisher sollte das Welt Klima an der deutschen Politik genesen. Jetzt schon an Landespolitik. Größenwahn made in Germany.  Landtagswahl2021 ltwbw21",Erstens Klima,zweitens Klima,0,0,0,0
235,"Erstens Klima, zweitens Klima, drittens Klima“ antwortet BW MP Kretschmann kürzlich auf die Frage nach seinen Prioritäten. Bisher sollte das Welt Klima an der deutschen Politik genesen. Jetzt schon an Landespolitik. Größenwahn made in Germany.  Landtagswahl2021 ltwbw21",Erstens Klima,drittens Klima,0,0,0,0
236,"Erstens Klima, zweitens Klima, drittens Klima“ antwortet BW MP Kretschmann kürzlich auf die Frage nach seinen Prioritäten. Bisher sollte das Welt Klima an der deutschen Politik genesen. Jetzt schon an Landespolitik. Größenwahn made in Germany.  Landtagswahl2021 ltwbw21",zweitens Klima,drittens Klima,0,0,0,0
237,"Erstens Klima, zweitens Klima, drittens Klima“ antwortet BW MP Kretschmann kürzlich auf die Frage nach seinen Prioritäten. Bisher sollte das Welt Klima an der deutschen Politik genesen. Jetzt schon an Landespolitik. Größenwahn made in Germany.  Landtagswahl2021 ltwbw21",Jetzt schon an Landespolitik,Größenwahn made in Germany,0,0,0,0
238,"Wer ist hier Faschist? „Antifa alt“ gegen „Antifa neu“: Das ist Fake Antifa, das sind Kinder, das sage ich als alter Antifa Mann' – so empörte sich ein betagter Teilnehmer der 'Corona Demo' in Berlin über die  Gegendemonstranten. Seine These: Der Gegenprotest sei gelenkt. Eine Spurensuche.",Wer ist hier Faschist,Das ist Fake Antifa,0,0,1,1
239,"Wer ist hier Faschist? „Antifa alt“ gegen „Antifa neu“: Das ist Fake Antifa, das sind Kinder, das sage ich als alter Antifa Mann' – so empörte sich ein betagter Teilnehmer der 'Corona Demo' in Berlin über die  Gegendemonstranten. Seine These: Der Gegenprotest sei gelenkt. Eine Spurensuche.",Antifa alt,Antifa neu,1,1,1,1
240,"Wer ist hier Faschist? „Antifa alt“ gegen „Antifa neu“: Das ist Fake Antifa, das sind Kinder, das sage ich als alter Antifa Mann' – so empörte sich ein betagter Teilnehmer der 'Corona Demo' in Berlin über die  Gegendemonstranten. Seine These: Der Gegenprotest sei gelenkt. Eine Spurensuche.",Seine These,Eine Spurensuche,0,0,1,1
241,"Überraschendes auf der Bundespressekonferenz: Spahn lobte sich selbst und seine Arbeit – doch dann fuhr ihm eine Ärztin in die Parade, kritisierte die überbordende Bürokratie in Sachen Corona. Die Frage nach einem möglichen Rücktritt ignorierte Spahn. ",kritisierte die überbordende Bürokratie in Sachen Corona,Die Frage nach einem möglichen Rücktritt ignorierte Spahn,0,0,0,1
242,Sechs Monate vor der Bundestagswahl stellt das Berliner Landgericht die Weichen Richtung 'Zensieren nach Lust und Laune' für Google – und damit auch die anderen Netzwerke. Meinungsfreiheit? Vielleicht später einmal...hier die unglaubliche Geschichte:,damit auch die anderen Netzwerke,hier die unglaubliche Geschichte,0,0,0,0
243,"David gegen Goliath: Vor Gericht gegen Google. Per Einstweiliger Verfügung hat das Landgericht Berlin Youtube die Zensur meines Bhakdi Interviews untersagt. Weil Google dagegen Widerspruch einlegte, kommt es nun morgen zur Verhandlung. Die ist brisant.  ",David gegen Goliath,Vor Gericht gegen Google,0,0,0,0
244,"Wie sieht es mit der Meinungsfreiheit aus in Deutschland? Wie viele Menschen fürchten negative Konsequenzen, wenn sie bei bestimmten Themen ihre Meinung äußern? Dazu habe ich eine INSA Umfrage in Auftrag gegeben – hier das alarmierende Ergebnis: ",wenn sie bei bestimmten Themen ihre Meinung äußern,Dazu habe ich eine INSA Umfrage in Auftrag gegeben,0,0,0,0
245,"Der Regierungs Pfusch nimmt Ausmaße an, die einen nur noch staunen lassen: Offenbar gab es so große Betrugsfälle bei den Corona Hilfen, dass nun die meisten gestoppt werden – zum Leidwesen von unzähligen Menschen, die um ihre Existenz kämpfen. Schon wieder Regierungsversagen, schon wieder ein Skandal, und schon wieder verharmlosen Sender wie ARD & ZDF, die von unseren Gebühren leben. Beim ZDF sucht man auf der Startseite den Corona Hilfen GAU vergeblich die ARD berichtet, aber überaus dezent. ",die um ihre Existenz kämpfen,die von unseren Gebühren leben,0,0,0,0
246,"Was für eine Nachricht: Bei 10000flies, das die Relevanz deutscher Medienberichte anhand der Zahl der 'Teilungen' in sozialen Medien misst, ist meine Seite heute in der 'Bundesliga' eine Nasenlänge vor Spiegel, Focus, FAZ etc., auf Platz 1 und 3.  Allen Lesern herzlichen Dank!",eine Nasenlänge vor Spiegel,Allen Lesern herzlichen Dank,0,0,0,0
247,"17000 Abonnenten auf YouTube. Da ist ein richtiges Medium entstanden.  Aus dem Nichts. Ohne einen Cent TV Gebühren.  Ich bin jedem einzelnen Abonnenten dankbar.  Und jedem Leser meiner Seite: Im Februar waren es erstmals mehr als 10 Millionen Klicks in einem Monat (und noch dazu in einem so kurzen). Sie alle machen mir Hoffnung: Viele Menschen wollen kritisch hinterfragen, statt nur auf 'betreutes Informieren' zu setzen! Viel mehr, als uns manche glauben machen wollen!",Da ist ein richtiges Medium entstanden,Ich bin jedem einzelnen Abonnenten dankbar,0,0,0,0
248,"17000 Abonnenten auf YouTube. Da ist ein richtiges Medium entstanden.  Aus dem Nichts. Ohne einen Cent TV Gebühren.  Ich bin jedem einzelnen Abonnenten dankbar.  Und jedem Leser meiner Seite: Im Februar waren es erstmals mehr als 10 Millionen Klicks in einem Monat (und noch dazu in einem so kurzen). Sie alle machen mir Hoffnung: Viele Menschen wollen kritisch hinterfragen, statt nur auf 'betreutes Informieren' zu setzen! Viel mehr, als uns manche glauben machen wollen!",Sie alle machen mir Hoffnung,als uns manche glauben machen wollen,0,0,0,0
249,"Lieber Lockdown und Grundrechtsentzug als ein Mittel gegen Corona von jemandem, der die falsche 'Haltung' hat und die Regierung kritisiert? Das ist, zugespitzt, der Tenor eines unglaublichen Artikels über den Mediziner Stöcker und sein Corona Antigen. ",die Regierung kritisiert,sein Corona Antigen,0,0,0,1
250,"Ausgerechnet ein Richter ruft die Bürger jetzt zum Widerstand gegen Corona Strafen auf. Der Jurist beklagt  'Verfehlungen aller drei Staatsgewalten' und will etwa Pärchen, die am falschen Ort Eis essen, nicht mit Räubern gleichsetzen. Hier sein Appell: ",Der Jurist beklagt,nicht mit Räubern gleichsetzen,0,0,0,0
251,"Sind die Fernsehgebühren wirklich eine Demokratie Abgabe? Wenn man die Abschlüsse der öffentlich rechtlichen Anstalten unter die Lupe nimmt, kommt man eher zum Schluss, sie sind eine Abgabe für satte Pensionen für die Mitarbeiter der Sender. ",Wenn man die Abschlüsse der öffentlich rechtlichen Anstalten unter die Lupe nimmt,sie sind eine Abgabe für satte Pensionen für die Mitarbeiter der Sender,0,0,0,1
252,"Wieso ist der Leiter der chinesischen Seuchenschutzbehörde Mitglied der Leopoldina? Also der Akademie, die maßgeblich am Lockdown in Deutschland mitgewirkt hat. Wie kommt ausgerechnet ein kommunistischer Kader in diese Position? Eine Spurensuche... ",Wieso ist der Leiter der chinesischen Seuchenschutzbehörde Mitglied der Leopoldina,Wie kommt ausgerechnet ein kommunistischer Kader in diese Position,0,0,0,0
253,"Reisen vermeiden' forderte Berlins Bürgermeister Müller gerade nach dem Coronagipfel. Nur wenige Meter weiter saß Markus Söder, der zum wiederholten Mal als einziger  Ministerpräsident extra zu dem Gipfel nach Berlin gereist ist. Warum eigentlich? Ginge es nicht wie bei 14 anderen Länderchefs virtuell? Was für doppelte Standards, und wie offensichtlich! ",der zum wiederholten Mal,Was für doppelte Standards,0,0,0,1
254,"Reisen vermeiden' forderte Berlins Bürgermeister Müller gerade nach dem Coronagipfel. Nur wenige Meter weiter saß Markus Söder, der zum wiederholten Mal als einziger  Ministerpräsident extra zu dem Gipfel nach Berlin gereist ist. Warum eigentlich? Ginge es nicht wie bei 14 anderen Länderchefs virtuell? Was für doppelte Standards, und wie offensichtlich! ",Warum eigentlich,wie offensichtlich,0,0,0,1
255,"Jedes Verbot führt zu Schattenwirtschaft.  Drei Ortsbesuche:  – bei einer Friseurin, die auch jetzt weiter privat schneidet, – in einer Kneipe, die sich dem Lockdown nicht beugt, und – in einem Modeladen, wo man sich unter der Hand noch einkleiden kann. ",bei einer Friseurin,in einer Kneipe,0,0,0,0
256,"Jedes Verbot führt zu Schattenwirtschaft.  Drei Ortsbesuche:  – bei einer Friseurin, die auch jetzt weiter privat schneidet, – in einer Kneipe, die sich dem Lockdown nicht beugt, und – in einem Modeladen, wo man sich unter der Hand noch einkleiden kann. ",bei einer Friseurin,in einem Modeladen,0,0,0,0
257,"Jedes Verbot führt zu Schattenwirtschaft.  Drei Ortsbesuche:  – bei einer Friseurin, die auch jetzt weiter privat schneidet, – in einer Kneipe, die sich dem Lockdown nicht beugt, und – in einem Modeladen, wo man sich unter der Hand noch einkleiden kann. ",in einer Kneipe,in einem Modeladen,0,0,0,0
258,"Der Lockdown, der vielen Menschen an die Existenz geht, an die Gesundheit, an die Psyche, soll heute verlängert werden. Auf der Bundespressekonferenz war trotzdem sehr viel Zeit für eine sehr breite Palette von sehr diversen Themen weltweit. ",an die Gesundheit,an die Psyche,0,0,0,0
259,"Wenn Merkel & Co. heute zum Coronagipfel zusammen kommen, gleichen sie Glücksspielern: Sie erliegen in Sachen Corona einer Kontrollillusion. Ihre autoritären Methoden gegen das Virus sind nicht nur wirkungslos – sie sind brandgefährlich. Eine bestechende Analyse von Sönke Paulsen. ",Sie erliegen in Sachen Corona einer Kontrollillusion,Eine bestechende Analyse von Sönke Paulsen,0,0,0,0
260,"Wenn Merkel & Co. heute zum Coronagipfel zusammen kommen, gleichen sie Glücksspielern: Sie erliegen in Sachen Corona einer Kontrollillusion. Ihre autoritären Methoden gegen das Virus sind nicht nur wirkungslos – sie sind brandgefährlich. Eine bestechende Analyse von Sönke Paulsen. ",Ihre autoritären Methoden gegen das Virus sind nicht nur wirkungslos,Eine bestechende Analyse von Sönke Paulsen,0,0,0,0
261,"Es reicht, es ist höchste Zeit für Vernunft, für Augenmaß, für Verhältnismäßigkeit!' – es gibt sie doch, Kritik am Lockdown im deutschen Fernsehen: 'Wie weit sind wir nur gekommen? Warum haben sich Politik und Verwaltung so verirrt? Verirrt ins Dunkle!' ",für Augenmaß,für Verhältnismäßigkeit,0,0,0,0
262,"Gorbatschow – ein Held unserer Zeit?! Er brachte die Sowjetunion und die DDR zum Einstürzen, wird im Westen als Held verehrt, während er in Russland heute verhasst ist: An dem letzten Generalsekretär der KPdSU spalten sich die Geister. Er wird heute 90.  ",ein Held unserer Zeit,die DDR zum Einstürzen,0,0,0,1
263,"Fehlendes Vertrauen in eigenen Impfstoff? 'Mobbing auf höchster Ebene', lauten die Vorwürfe gegen Pfizer. Der US Pharmariese versucht offenbar mit allen Mitteln, seinen Impfstoff in Lateinamerika zu verkaufen und alle Verantwortung auf den Staat abzuwälzen. ",Fehlendes Vertrauen in eigenen Impfstoff,Mobbing auf höchster Ebene,0,0,0,0
264,"Fehlendes Vertrauen in eigenen Impfstoff? 'Mobbing auf höchster Ebene', lauten die Vorwürfe gegen Pfizer. Der US Pharmariese versucht offenbar mit allen Mitteln, seinen Impfstoff in Lateinamerika zu verkaufen und alle Verantwortung auf den Staat abzuwälzen. ",seinen Impfstoff in Lateinamerika zu verkaufen,alle Verantwortung auf den Staat abzuwälzen,1,0,0,0
265,"Erst gratuliert Hessens CDU Generalsekretär der neuen 'Linken' Chefin zur Wahl und tischt ihr Komplimente auf, dann bekommt er Druck und löscht die Glückwünsche – und wird dafür von Ramelow kritisiert. Ein Stück aus dem politischen Tollhaus von Klaus Kelle. ",Erst gratuliert Hessens CDU Generalsekretär der neuen 'Linken' Chefin zur Wahl und tischt ihr Komplimente auf,dann bekommt er Druck und löscht die Glückwünsche –,0,0,0,1
266,"Wächst zusammen, was nicht zusammenwachsen dürfte? In Australien zahlt  Facebook eine Milliarde an die Medien. So kauft sich der Konzern die Gunst der Regierung. Auch Google will Verlage bezahlen. Für die Meinungsvielfalt könnte das verheerend sein: ",In Australien zahlt  Facebook eine Milliarde an die Medien,So kauft sich der Konzern die Gunst der Regierung,0,0,0,0
267,"Normalsterblichen war bis Montag der Weg zum Friseur verbaut, Merkel dagegen war immer gut frisiert – obwohl es keine Sonderregelung für sie gab, wie ihr Sprecher mir versicherte. Hier meine Spurensuche nach dem Wunder der unbefleckten Kanzlerinnen Frisur: ",obwohl es keine Sonderregelung für sie gab,wie ihr Sprecher mir versicherte,0,0,0,1
268,"Laut einem Schreiben, das der Stuttgarter Generalstaatsanwalt  verfasst haben soll, werden tote Corona Geimpfte nicht routinemäßig obduziert. Weil es keine rechtliche Grundlage dafür gebe, und keine „validen Hinweise“, dass Impfungen ursächlich seien. ",werden tote Corona Geimpfte nicht routinemäßig obduziert,Weil es keine rechtliche Grundlage dafür gebe,0,0,0,0
269,"Die Kollegen, die es für unanständig halten, wenn ein Journalist wie ich seinen Blog durch seine Leser finanzieren lässt, statt durch Gebühren oder Staatshilfe, müssen jetzt ganz stark sein: Gerade bekam ich eine neue 'Bestechung': ein Bild, das eine Leserin malte. 1000 Dank!",Die Kollegen,ein Bild,0,0,0,0
270,"Keineswegs eine Neuheit bei COVID19': Je aufgeheizter die Diskussion um Corona und den Lockdown, umso wichtiger sind nüchterne Zahlen. Hier eine Analyse der Belastung von Krankenhäusern und Intensivstationen sowie Beatmungen 2020 im Vergleich zu 2019. ",Keineswegs eine Neuheit bei COVID19,Je aufgeheizter die Diskussion um Corona,0,0,0,0
271,"Keineswegs eine Neuheit bei COVID19': Je aufgeheizter die Diskussion um Corona und den Lockdown, umso wichtiger sind nüchterne Zahlen. Hier eine Analyse der Belastung von Krankenhäusern und Intensivstationen sowie Beatmungen 2020 im Vergleich zu 2019. ",Keineswegs eine Neuheit bei COVID19,Hier eine Analyse der Belastung von Krankenhäusern,0,0,0,0
272,"Keineswegs eine Neuheit bei COVID19': Je aufgeheizter die Diskussion um Corona und den Lockdown, umso wichtiger sind nüchterne Zahlen. Hier eine Analyse der Belastung von Krankenhäusern und Intensivstationen sowie Beatmungen 2020 im Vergleich zu 2019. ",Je aufgeheizter die Diskussion um Corona,Hier eine Analyse der Belastung von Krankenhäusern,0,0,0,0
273,Schweden sei mit seiner liberalen Corona Politik ohne Lockdown gescheitert – das ist ein Mantra in Politik und Medien. Mathematik Professor Rießinger hat die schwedischen Sterbezahlen unter die Lupe genommen. Seine nüchterne Analyse widerlegt das Mantra.,Schweden sei mit seiner liberalen Corona Politik ohne Lockdown gescheitert,Mathematik Professor Rießinger hat die schwedischen Sterbezahlen unter die Lupe genommen,0,0,0,1
274,"Jens Spahn ließ Journalisten ausspionieren, sein Haus ist möglicherweise in einen Masken Korruptionsskandal verwickelt – eigentlich hätte er heute 'gegrillt' werden müssen auf der Bundespressekonferenz. Wurde er aber nicht. Ich selbst hatte leider wieder einmal Pech 🙂 ",Jens Spahn ließ Journalisten ausspionieren,sein Haus ist möglicherweise in einen Masken Korruptionsskandal verwickelt,0,0,0,1
275,"Die Dinge sind genauso behandelt worden, wie alle anderen! So beantwortete Spahn die Frage nach dem Umgang seines Ministeriums mit Nuesslein:  Der Vize Chef der Unionsfraktion soll gegen Schmiergeld Masken lobbyiert haben, auch in Spahns Ministerium. ",So beantwortete Spahn die Frage nach dem Umgang seines Ministeriums mit Nuesslein,Der Vize Chef der Unionsfraktion soll gegen Schmiergeld Masken lobbyiert haben,0,0,0,0
276,16000 Abonnenten auf Youtube.  Ohne einen Cent Gebühren. Ohne Steuergeld. Zum Vergleich:  Radio Bremen (ARD): 1.800 Saarländischer Rundfunk (ARD): 6.920 Monitor (ARD/WDR): 44.200. Man kann auch ohne Milliarden Journalismus machen. Kritischen.  Allen Abonnenten herzlichen Dank!,Ohne Steuergeld,Zum Vergleich,0,0,0,1
